depth,num_leaves,bitsize,field,func,avg_time,avg_max_bits,result,expected,correct,trial_tree,trial_run,leaf_values
2,4,2,GF(32),xor,0.18404245376586914,12.0,3,3,True,0,0,"[2, 1, 2, 2]"
2,4,2,GF(32),xor,0.012682437896728516,12.0,2,2,True,1,0,"[2, 2, 0, 2]"
2,4,2,GF(32),xor,0.01443338394165039,12.0,3,3,True,2,0,"[1, 1, 2, 1]"
2,4,2,GF(32),xor,0.013928890228271484,12.0,1,1,True,3,0,"[3, 1, 2, 1]"
2,4,2,GF(32),xor,0.013422250747680664,12.0,0,0,True,4,0,"[0, 1, 1, 0]"
2,4,2,GF(32),xor,0.015527725219726562,12.0,1,1,True,5,0,"[1, 2, 1, 3]"
2,4,2,GF(32),xor,0.014022111892700195,12.0,0,0,True,6,0,"[0, 1, 1, 0]"
2,4,2,GF(32),xor,0.013293027877807617,12.0,0,0,True,7,0,"[2, 0, 3, 1]"
2,4,2,GF(32),xor,0.016193151473999023,12.0,3,3,True,8,0,"[1, 0, 2, 0]"
2,4,2,GF(32),xor,0.014957666397094727,12.0,2,2,True,9,0,"[0, 2, 0, 0]"
3,8,2,GF(32),xor,1.7026801109313965,12.0,0,0,True,0,0,"[3, 3, 2, 1, 3, 2, 1, 3]"
3,8,2,GF(32),xor,1.6397786140441895,12.0,0,0,True,1,0,"[0, 0, 1, 3, 0, 1, 3, 0]"
3,8,2,GF(32),xor,1.6580133438110352,12.0,1,1,True,2,0,"[2, 1, 0, 0, 3, 0, 1, 0]"
3,8,2,GF(32),xor,1.6486937999725342,12.0,1,1,True,3,0,"[3, 0, 3, 3, 3, 0, 3, 2]"
3,8,2,GF(32),xor,1.739842176437378,12.0,2,2,True,4,0,"[1, 1, 1, 0, 3, 2, 3, 1]"
3,8,2,GF(32),xor,1.7354869842529297,12.0,3,3,True,5,0,"[3, 3, 0, 3, 1, 3, 1, 3]"
3,8,2,GF(32),xor,1.653571605682373,12.0,2,2,True,6,0,"[0, 1, 1, 0, 3, 1, 2, 2]"
3,8,2,GF(32),xor,1.6437132358551025,12.0,2,2,True,7,0,"[2, 1, 1, 3, 0, 1, 1, 3]"
3,8,2,GF(32),xor,1.6463532447814941,12.0,1,1,True,8,0,"[3, 1, 1, 0, 3, 2, 0, 3]"
3,8,2,GF(32),xor,1.7860333919525146,12.0,2,2,True,9,0,"[3, 3, 2, 2, 2, 1, 3, 2]"
4,16,2,GF(32),xor,221.7871377468109,12.0,1,1,True,0,0,"[3, 3, 2, 0, 2, 0, 0, 0, 2, 1, 3, 0, 1, 0, 1, 1]"
4,16,2,GF(32),xor,208.86906743049622,12.0,3,3,True,1,0,"[0, 2, 3, 1, 3, 1, 3, 2, 0, 0, 1, 3, 2, 3, 1, 2]"
4,16,2,GF(32),xor,206.96348333358765,12.0,2,2,True,2,0,"[1, 0, 2, 0, 0, 0, 1, 3, 0, 1, 3, 0, 2, 1, 1, 3]"
4,16,2,GF(32),xor,207.57417178153992,12.0,0,0,True,3,0,"[1, 2, 2, 1, 0, 3, 1, 3, 3, 0, 3, 2, 0, 3, 0, 0]"
4,16,2,GF(32),xor,209.07442235946655,12.0,2,2,True,4,0,"[0, 3, 0, 2, 3, 1, 2, 1, 3, 2, 1, 1, 1, 0, 0, 2]"
4,16,2,GF(32),xor,211.29198789596558,12.0,1,1,True,5,0,"[0, 2, 1, 1, 2, 0, 1, 1, 0, 3, 2, 3, 0, 0, 3, 0]"
4,16,2,GF(32),xor,211.2735071182251,12.0,0,0,True,6,0,"[1, 1, 1, 0, 1, 3, 3, 2, 3, 1, 1, 0, 3, 0, 0, 2]"
4,16,2,GF(32),xor,215.0264093875885,12.0,0,0,True,7,0,"[2, 1, 3, 3, 1, 0, 3, 1, 0, 3, 2, 1, 1, 0, 0, 1]"
4,16,2,GF(32),xor,215.36560726165771,12.0,2,2,True,8,0,"[2, 3, 1, 0, 2, 1, 2, 0, 0, 1, 1, 0, 1, 0, 3, 1]"
4,16,2,GF(32),xor,212.3199336528778,12.0,1,1,True,9,0,"[0, 3, 0, 0, 2, 1, 1, 3, 3, 1, 0, 0, 2, 0, 3, 0]"
2,4,2,GF(32),and,0.014967679977416992,12.0,0,0,True,0,0,"[1, 1, 0, 2]"
2,4,2,GF(32),and,0.014879941940307617,12.0,0,0,True,1,0,"[1, 0, 0, 1]"
2,4,2,GF(32),and,0.01495981216430664,12.0,0,0,True,2,0,"[3, 2, 2, 0]"
2,4,2,GF(32),and,0.015097856521606445,12.0,0,0,True,3,0,"[1, 2, 2, 0]"
2,4,2,GF(32),and,0.013955831527709961,12.0,0,0,True,4,0,"[3, 0, 1, 1]"
2,4,2,GF(32),and,0.01461648941040039,12.0,0,0,True,5,0,"[3, 2, 0, 0]"
2,4,2,GF(32),and,0.016623497009277344,12.0,0,0,True,6,0,"[1, 2, 2, 3]"
2,4,2,GF(32),and,0.017583847045898438,12.0,0,0,True,7,0,"[0, 1, 0, 2]"
2,4,2,GF(32),and,0.01323699951171875,12.0,0,0,True,8,0,"[2, 1, 2, 2]"
2,4,2,GF(32),and,0.013421773910522461,12.0,0,0,True,9,0,"[2, 0, 2, 3]"
3,8,2,GF(32),and,1.7396104335784912,12.0,0,0,True,0,0,"[0, 3, 3, 0, 3, 3, 1, 1]"
3,8,2,GF(32),and,1.692063331604004,12.0,0,0,True,1,0,"[2, 0, 2, 0, 3, 3, 2, 0]"
3,8,2,GF(32),and,1.686126947402954,12.0,0,0,True,2,0,"[0, 3, 3, 2, 3, 2, 3, 2]"
3,8,2,GF(32),and,1.5800855159759521,12.0,0,0,True,3,0,"[2, 3, 3, 1, 2, 3, 1, 1]"
3,8,2,GF(32),and,1.5827546119689941,12.0,0,0,True,4,0,"[1, 0, 1, 1, 1, 3, 1, 1]"
3,8,2,GF(32),and,1.575119972229004,12.0,0,0,True,5,0,"[3, 3, 3, 0, 0, 1, 2, 2]"
3,8,2,GF(32),and,1.6909756660461426,12.0,0,0,True,6,0,"[2, 2, 3, 1, 3, 1, 3, 3]"
3,8,2,GF(32),and,1.8395507335662842,12.0,0,0,True,7,0,"[0, 2, 1, 3, 3, 1, 1, 2]"
3,8,2,GF(32),and,1.7468557357788086,12.0,0,0,True,8,0,"[2, 1, 2, 3, 1, 3, 2, 0]"
3,8,2,GF(32),and,1.7428748607635498,12.0,0,0,True,9,0,"[1, 2, 3, 1, 0, 3, 2, 0]"
4,16,2,GF(32),and,211.0660948753357,12.0,0,0,True,0,0,"[2, 1, 3, 2, 3, 0, 0, 1, 2, 1, 1, 3, 0, 2, 1, 2]"
4,16,2,GF(32),and,209.72831463813782,12.0,0,0,True,1,0,"[2, 0, 2, 2, 1, 1, 2, 3, 0, 3, 2, 1, 2, 0, 3, 3]"
4,16,2,GF(32),and,210.76443314552307,12.0,0,0,True,2,0,"[0, 1, 1, 1, 0, 3, 1, 0, 3, 1, 1, 1, 3, 2, 1, 0]"
4,16,2,GF(32),and,209.84091329574585,12.0,0,0,True,3,0,"[0, 3, 1, 3, 1, 3, 2, 3, 2, 0, 3, 2, 1, 2, 3, 3]"
4,16,2,GF(32),and,207.68822574615479,12.0,0,0,True,4,0,"[1, 3, 3, 3, 3, 1, 0, 1, 2, 2, 3, 0, 0, 1, 3, 3]"
4,16,2,GF(32),and,205.3079981803894,12.0,0,0,True,5,0,"[1, 2, 0, 1, 3, 2, 1, 2, 1, 0, 1, 3, 1, 3, 0, 1]"
4,16,2,GF(32),and,207.870924949646,12.0,0,0,True,6,0,"[0, 0, 3, 0, 2, 2, 3, 1, 3, 2, 1, 2, 3, 1, 2, 3]"
4,16,2,GF(32),and,206.6877465248108,12.0,0,0,True,7,0,"[3, 2, 0, 1, 2, 2, 0, 2, 3, 0, 1, 1, 1, 1, 1, 1]"
4,16,2,GF(32),and,208.82493591308594,12.0,0,0,True,8,0,"[1, 0, 0, 0, 3, 3, 2, 1, 3, 2, 1, 1, 1, 2, 3, 3]"
4,16,2,GF(32),and,206.40522384643555,12.0,0,0,True,9,0,"[1, 3, 2, 3, 3, 2, 3, 3, 3, 2, 0, 1, 2, 3, 3, 3]"
2,4,3,GF(32),xor,0.04724764823913574,27.0,0,0,True,0,0,"[2, 3, 7, 6]"
2,4,3,GF(32),xor,0.04042696952819824,27.0,6,6,True,1,0,"[6, 0, 2, 2]"
2,4,3,GF(32),xor,0.03121471405029297,27.0,2,2,True,2,0,"[0, 6, 3, 7]"
2,4,3,GF(32),xor,0.023260831832885742,27.0,5,5,True,3,0,"[0, 0, 0, 5]"
2,4,3,GF(32),xor,0.020047903060913086,27.0,7,7,True,4,0,"[1, 3, 2, 7]"
2,4,3,GF(32),xor,0.022536277770996094,27.0,3,3,True,5,0,"[1, 7, 2, 7]"
2,4,3,GF(32),xor,0.023891925811767578,27.0,5,5,True,6,0,"[6, 1, 5, 7]"
2,4,3,GF(32),xor,0.022923707962036133,27.0,6,6,True,7,0,"[1, 6, 6, 7]"
2,4,3,GF(32),xor,0.020268678665161133,27.0,2,2,True,8,0,"[3, 0, 4, 5]"
2,4,3,GF(32),xor,0.02082514762878418,27.0,7,7,True,9,0,"[4, 3, 1, 1]"
3,8,3,GF(32),xor,2.4514241218566895,27.0,2,2,True,0,0,"[1, 3, 5, 1, 3, 6, 4, 5]"
3,8,3,GF(32),xor,2.3879942893981934,27.0,4,4,True,1,0,"[6, 0, 4, 1, 7, 2, 4, 6]"
3,8,3,GF(32),xor,2.411195755004883,27.0,5,5,True,2,0,"[2, 0, 5, 3, 5, 0, 7, 3]"
3,8,3,GF(32),xor,2.434061050415039,27.0,6,6,True,3,0,"[0, 6, 7, 5, 7, 1, 3, 7]"
3,8,3,GF(32),xor,2.437824249267578,27.0,5,5,True,4,0,"[1, 1, 0, 0, 6, 3, 1, 1]"
3,8,3,GF(32),xor,2.417531967163086,27.0,3,3,True,5,0,"[3, 5, 4, 6, 4, 5, 0, 6]"
3,8,3,GF(32),xor,2.424574375152588,27.0,3,3,True,6,0,"[7, 7, 3, 6, 4, 0, 7, 5]"
3,8,3,GF(32),xor,2.4055850505828857,27.0,1,1,True,7,0,"[4, 7, 4, 3, 3, 0, 4, 2]"
3,8,3,GF(32),xor,2.4158434867858887,27.0,2,2,True,8,0,"[7, 4, 1, 2, 1, 0, 6, 5]"
3,8,3,GF(32),xor,2.4207441806793213,27.0,3,3,True,9,0,"[5, 5, 3, 6, 4, 1, 7, 4]"
4,16,3,GF(32),xor,301.03493332862854,27.0,2,2,True,0,0,"[6, 2, 2, 6, 2, 0, 1, 4, 0, 5, 4, 2, 1, 1, 4, 2]"
4,16,3,GF(32),xor,301.8360204696655,27.0,5,5,True,1,0,"[7, 0, 5, 7, 4, 5, 7, 3, 2, 0, 1, 2, 4, 0, 7, 7]"
4,16,3,GF(32),xor,304.8019573688507,27.0,2,2,True,2,0,"[6, 6, 7, 2, 6, 1, 2, 4, 1, 6, 7, 5, 4, 3, 6, 2]"
4,16,3,GF(32),xor,291.0154459476471,27.0,4,4,True,3,0,"[5, 6, 3, 1, 3, 2, 4, 6, 2, 4, 4, 7, 7, 1, 0, 5]"
4,16,3,GF(32),xor,279.5782747268677,27.0,7,7,True,4,0,"[1, 3, 7, 1, 4, 7, 6, 4, 0, 0, 1, 0, 2, 2, 6, 5]"
4,16,3,GF(32),xor,277.93534445762634,27.0,7,7,True,5,0,"[3, 3, 0, 0, 5, 5, 7, 4, 1, 7, 2, 2, 5, 1, 6, 0]"
4,16,3,GF(32),xor,279.73528504371643,27.0,6,6,True,6,0,"[4, 5, 4, 3, 3, 0, 7, 1, 1, 5, 1, 0, 2, 1, 1, 2]"
4,16,3,GF(32),xor,279.7061560153961,27.0,0,0,True,7,0,"[3, 6, 0, 3, 5, 4, 1, 2, 5, 5, 0, 0, 6, 1, 1, 2]"
4,16,3,GF(32),xor,280.8059718608856,27.0,1,1,True,8,0,"[1, 6, 3, 1, 5, 5, 7, 7, 6, 0, 4, 4, 6, 6, 4, 6]"
4,16,3,GF(32),xor,324.4436049461365,27.0,2,2,True,9,0,"[6, 7, 2, 7, 7, 4, 2, 1, 5, 6, 2, 3, 5, 5, 0, 4]"
2,4,3,GF(32),and,0.02657938003540039,27.0,0,0,True,0,0,"[2, 5, 4, 5]"
2,4,3,GF(32),and,0.02505803108215332,27.0,2,2,True,1,0,"[2, 7, 3, 6]"
2,4,3,GF(32),and,0.021558523178100586,27.0,0,0,True,2,0,"[5, 5, 6, 1]"
2,4,3,GF(32),and,0.02344202995300293,27.0,0,0,True,3,0,"[0, 2, 2, 4]"
2,4,3,GF(32),and,0.024071216583251953,27.0,1,1,True,4,0,"[1, 3, 7, 3]"
2,4,3,GF(32),and,0.0228116512298584,27.0,0,0,True,5,0,"[3, 0, 4, 4]"
2,4,3,GF(32),and,0.02334737777709961,27.0,1,1,True,6,0,"[7, 1, 5, 3]"
2,4,3,GF(32),and,0.022763490676879883,27.0,0,0,True,7,0,"[3, 0, 1, 6]"
2,4,3,GF(32),and,0.020687103271484375,27.0,0,0,True,8,0,"[0, 4, 2, 4]"
2,4,3,GF(32),and,0.022161006927490234,27.0,1,1,True,9,0,"[1, 1, 5, 1]"
3,8,3,GF(32),and,2.9259326457977295,27.0,0,0,True,0,0,"[1, 3, 0, 3, 7, 2, 2, 7]"
3,8,3,GF(32),and,2.978618621826172,27.0,0,0,True,1,0,"[5, 0, 2, 5, 6, 5, 3, 5]"
3,8,3,GF(32),and,2.8418712615966797,27.0,0,0,True,2,0,"[5, 6, 7, 1, 0, 0, 3, 0]"
3,8,3,GF(32),and,2.9910309314727783,27.0,0,0,True,3,0,"[4, 1, 4, 7, 6, 4, 2, 2]"
3,8,3,GF(32),and,2.790771245956421,27.0,0,0,True,4,0,"[3, 4, 4, 1, 2, 1, 6, 5]"
3,8,3,GF(32),and,2.8143465518951416,27.0,0,0,True,5,0,"[7, 4, 1, 2, 2, 2, 4, 2]"
3,8,3,GF(32),and,2.9095284938812256,27.0,0,0,True,6,0,"[4, 1, 5, 1, 7, 1, 0, 2]"
3,8,3,GF(32),and,2.911745071411133,27.0,0,0,True,7,0,"[7, 4, 1, 6, 5, 1, 2, 4]"
3,8,3,GF(32),and,2.984626531600952,27.0,0,0,True,8,0,"[6, 3, 6, 6, 1, 5, 7, 7]"
3,8,3,GF(32),and,2.9055984020233154,27.0,0,0,True,9,0,"[3, 6, 3, 7, 0, 1, 0, 7]"
4,16,3,GF(32),and,344.59781217575073,27.0,0,0,True,0,0,"[2, 6, 3, 1, 2, 5, 6, 7, 5, 2, 0, 0, 2, 3, 7, 1]"
4,16,3,GF(32),and,335.80061769485474,27.0,0,0,True,1,0,"[2, 6, 0, 7, 6, 5, 0, 6, 7, 4, 3, 5, 1, 6, 1, 3]"
4,16,3,GF(32),and,336.36388778686523,27.0,0,0,True,2,0,"[5, 5, 2, 4, 6, 6, 3, 1, 4, 3, 2, 0, 5, 7, 2, 5]"
4,16,3,GF(32),and,379.9225699901581,27.0,0,0,True,3,0,"[7, 6, 3, 1, 7, 7, 2, 0, 6, 1, 2, 3, 4, 1, 0, 6]"
4,16,3,GF(32),and,789.053272485733,27.0,0,0,True,4,0,"[6, 7, 7, 0, 5, 0, 6, 2, 4, 3, 1, 1, 0, 0, 2, 4]"
4,16,3,GF(32),and,332.0041708946228,27.0,0,0,True,5,0,"[3, 0, 0, 3, 0, 7, 3, 6, 3, 1, 1, 2, 0, 1, 2, 5]"
4,16,3,GF(32),and,330.36611223220825,27.0,0,0,True,6,0,"[1, 4, 7, 0, 7, 1, 2, 2, 0, 2, 3, 7, 6, 4, 3, 6]"
4,16,3,GF(32),and,332.8131322860718,27.0,0,0,True,7,0,"[1, 2, 3, 6, 5, 3, 1, 7, 3, 5, 4, 5, 5, 6, 5, 5]"
4,16,3,GF(32),and,338.7445957660675,27.0,0,0,True,8,0,"[1, 4, 6, 6, 3, 7, 5, 3, 3, 5, 3, 1, 3, 5, 4, 1]"
4,16,3,GF(32),and,335.7877595424652,27.0,0,0,True,9,0,"[1, 4, 0, 6, 3, 1, 3, 4, 5, 2, 2, 1, 4, 7, 0, 5]"
2,4,4,GF(32),xor,0.029761791229248047,48.0,7,7,True,0,0,"[3, 12, 2, 10]"
2,4,4,GF(32),xor,0.033934593200683594,48.0,3,3,True,1,0,"[8, 2, 7, 14]"
2,4,4,GF(32),xor,0.03330087661743164,48.0,5,5,True,2,0,"[11, 0, 9, 7]"
2,4,4,GF(32),xor,0.028607845306396484,48.0,1,1,True,3,0,"[13, 6, 7, 13]"
2,4,4,GF(32),xor,0.030434846878051758,48.0,4,4,True,4,0,"[15, 2, 2, 11]"
2,4,4,GF(32),xor,0.028306961059570312,48.0,12,12,True,5,0,"[3, 2, 9, 4]"
2,4,4,GF(32),xor,0.02765798568725586,48.0,5,5,True,6,0,"[12, 11, 3, 1]"
2,4,4,GF(32),xor,0.03147554397583008,48.0,11,11,True,7,0,"[9, 8, 7, 13]"
2,4,4,GF(32),xor,0.029723644256591797,48.0,1,1,True,8,0,"[3, 5, 3, 4]"
2,4,4,GF(32),xor,0.028400659561157227,48.0,5,5,True,9,0,"[3, 8, 14, 0]"
3,8,4,GF(32),xor,3.4481937885284424,48.0,1,1,True,0,0,"[13, 0, 4, 6, 11, 5, 4, 4]"
3,8,4,GF(32),xor,3.390882968902588,48.0,15,15,True,1,0,"[7, 6, 10, 7, 10, 9, 8, 8]"
3,8,4,GF(32),xor,3.3951339721679688,48.0,7,7,True,2,0,"[5, 11, 10, 8, 2, 15, 13, 11]"
3,8,4,GF(32),xor,3.378957748413086,48.0,1,1,True,3,0,"[10, 3, 8, 3, 0, 7, 6, 2]"
3,8,4,GF(32),xor,3.448117256164551,48.0,6,6,True,4,0,"[5, 6, 7, 5, 3, 15, 0, 11]"
3,8,4,GF(32),xor,3.606863260269165,48.0,15,15,True,5,0,"[8, 14, 11, 15, 13, 7, 9, 14]"
3,8,4,GF(32),xor,3.4991044998168945,48.0,10,10,True,6,0,"[12, 15, 8, 11, 2, 12, 0, 4]"
3,8,4,GF(32),xor,3.659975290298462,48.0,2,2,True,7,0,"[11, 7, 12, 1, 3, 9, 9, 0]"
3,8,4,GF(32),xor,3.6093313694000244,48.0,1,1,True,8,0,"[10, 8, 0, 6, 15, 15, 5, 0]"
3,8,4,GF(32),xor,3.6608123779296875,48.0,4,4,True,9,0,"[14, 6, 6, 11, 14, 3, 5, 9]"
4,16,4,GF(32),xor,440.5698130130768,48.0,1,1,True,0,0,"[13, 14, 1, 14, 8, 2, 15, 15, 7, 10, 2, 2, 8, 13, 11, 4]"
4,16,4,GF(32),xor,408.79726457595825,48.0,15,15,True,1,0,"[7, 14, 12, 11, 14, 14, 5, 14, 1, 9, 1, 5, 7, 10, 6, 13]"
4,16,4,GF(32),xor,386.105584859848,48.0,13,13,True,2,0,"[0, 9, 6, 9, 14, 13, 13, 1, 6, 14, 2, 7, 12, 14, 0, 11]"
4,16,4,GF(32),xor,390.9235472679138,48.0,10,10,True,3,0,"[8, 11, 1, 0, 2, 4, 8, 12, 11, 12, 12, 7, 10, 8, 8, 12]"
4,16,4,GF(32),xor,383.5818293094635,48.0,6,6,True,4,0,"[12, 14, 4, 7, 10, 9, 0, 13, 6, 14, 13, 3, 9, 4, 2, 0]"
4,16,4,GF(32),xor,382.9141137599945,48.0,13,13,True,5,0,"[14, 2, 5, 10, 4, 1, 4, 6, 12, 2, 8, 13, 11, 11, 7, 5]"
4,16,4,GF(32),xor,743.9958302974701,48.0,0,0,True,6,0,"[12, 14, 10, 8, 15, 4, 13, 4, 13, 10, 12, 12, 4, 10, 11, 0]"
4,16,4,GF(32),xor,1094.0446486473083,48.0,12,12,True,7,0,"[1, 12, 4, 4, 9, 11, 12, 13, 6, 9, 11, 13, 6, 15, 12, 14]"
4,16,4,GF(32),xor,1094.0694477558136,48.0,10,10,True,8,0,"[9, 14, 13, 3, 14, 5, 3, 2, 1, 9, 7, 5, 0, 14, 0, 13]"
4,16,4,GF(32),xor,1097.4555823802948,48.0,1,1,True,9,0,"[13, 12, 15, 7, 1, 0, 7, 11, 7, 0, 5, 9, 5, 1, 4, 14]"
2,4,4,GF(32),and,0.08165478706359863,48.0,0,0,True,0,0,"[1, 4, 6, 6]"
2,4,4,GF(32),and,0.08974313735961914,48.0,0,0,True,1,0,"[0, 1, 5, 5]"
2,4,4,GF(32),and,0.07166552543640137,48.0,4,4,True,2,0,"[14, 4, 15, 4]"
2,4,4,GF(32),and,0.07274508476257324,48.0,0,0,True,3,0,"[0, 9, 1, 0]"
2,4,4,GF(32),and,0.07525134086608887,48.0,4,4,True,4,0,"[15, 4, 7, 15]"
2,4,4,GF(32),and,0.06559634208679199,48.0,8,8,True,5,0,"[10, 8, 11, 12]"
2,4,4,GF(32),and,0.0776207447052002,48.0,1,1,True,6,0,"[13, 7, 11, 7]"
2,4,4,GF(32),and,0.08314847946166992,48.0,0,0,True,7,0,"[0, 8, 14, 4]"
2,4,4,GF(32),and,0.0835409164428711,48.0,1,1,True,8,0,"[15, 5, 1, 5]"
2,4,4,GF(32),and,0.08534908294677734,48.0,8,8,True,9,0,"[10, 11, 8, 14]"
3,8,4,GF(32),and,9.217347621917725,48.0,4,4,True,0,0,"[15, 14, 13, 7, 4, 15, 15, 12]"
3,8,4,GF(32),and,8.80854845046997,48.0,0,0,True,1,0,"[3, 1, 5, 4, 8, 9, 3, 15]"
3,8,4,GF(32),and,8.967984199523926,48.0,0,0,True,2,0,"[8, 2, 12, 0, 2, 3, 2, 9]"
3,8,4,GF(32),and,8.914722919464111,48.0,0,0,True,3,0,"[3, 8, 4, 9, 9, 7, 14, 4]"
3,8,4,GF(32),and,8.882034063339233,48.0,0,0,True,4,0,"[6, 9, 4, 0, 12, 7, 15, 0]"
3,8,4,GF(32),and,8.860575914382935,48.0,0,0,True,5,0,"[9, 1, 15, 7, 7, 14, 6, 13]"
3,8,4,GF(32),and,8.802820205688477,48.0,0,0,True,6,0,"[1, 0, 12, 1, 13, 0, 1, 9]"
3,8,4,GF(32),and,8.850041389465332,48.0,0,0,True,7,0,"[11, 15, 8, 7, 15, 6, 4, 6]"
3,8,4,GF(32),and,8.799827098846436,48.0,0,0,True,8,0,"[2, 13, 6, 7, 7, 9, 8, 4]"
3,8,4,GF(32),and,8.89379358291626,48.0,0,0,True,9,0,"[3, 14, 7, 5, 8, 10, 0, 9]"
4,16,4,GF(32),and,721.1141250133514,48.0,0,0,True,0,0,"[4, 15, 12, 12, 10, 5, 13, 14, 15, 1, 6, 12, 14, 9, 12, 11]"
4,16,4,GF(32),and,1126.0023574829102,48.0,0,0,True,1,0,"[6, 11, 13, 13, 4, 8, 14, 9, 11, 2, 7, 0, 2, 8, 1, 6]"
4,16,4,GF(32),and,1005.884679555893,48.0,0,0,True,2,0,"[12, 7, 10, 8, 0, 1, 7, 4, 7, 10, 9, 7, 14, 7, 2, 9]"
4,16,4,GF(32),and,1178.0950181484222,48.0,0,0,True,3,0,"[14, 12, 4, 3, 5, 15, 13, 9, 7, 1, 5, 5, 7, 5, 1, 10]"
4,16,4,GF(32),and,1206.1992688179016,48.0,0,0,True,4,0,"[4, 4, 0, 8, 12, 11, 13, 0, 9, 4, 5, 5, 3, 5, 6, 6]"
4,16,4,GF(32),and,1236.1385660171509,48.0,0,0,True,5,0,"[13, 0, 4, 9, 15, 6, 7, 3, 12, 14, 2, 14, 7, 12, 2, 7]"
4,16,4,GF(32),and,1170.5803742408752,48.0,0,0,True,6,0,"[2, 4, 0, 14, 15, 11, 0, 2, 0, 7, 9, 8, 11, 10, 11, 5]"
4,16,4,GF(32),and,434.1394567489624,48.0,0,0,True,7,0,"[5, 6, 4, 4, 12, 4, 13, 3, 2, 15, 8, 6, 6, 3, 8, 12]"
4,16,4,GF(32),and,453.41020011901855,48.0,0,0,True,8,0,"[7, 9, 3, 7, 4, 15, 15, 8, 13, 13, 9, 7, 6, 0, 7, 12]"
4,16,4,GF(32),and,456.7991187572479,48.0,0,0,True,9,0,"[10, 0, 6, 8, 3, 14, 1, 2, 11, 5, 11, 2, 15, 11, 0, 2]"
